"rgn_id","habitat","trend"
4,"soft_bottom",0
8,"soft_bottom",0
3,"soft_bottom",0
5,"soft_bottom",0
11,"soft_bottom",0
1,"soft_bottom",0
10,"soft_bottom",0
7,"soft_bottom",0
2,"soft_bottom",0
6,"soft_bottom",0
9,"soft_bottom",0
4,"saltmarsh",0
8,"saltmarsh",0
3,"saltmarsh",0
5,"saltmarsh",0
11,"saltmarsh",0
1,"saltmarsh",0
10,"saltmarsh",0
7,"saltmarsh",0
2,"saltmarsh",0
6,"saltmarsh",0
9,"saltmarsh",0
4,"seaice_edge",-0.00843554007698969
8,"seaice_edge",-0.00843554007698969
3,"seaice_edge",-0.00843554007698969
5,"seaice_edge",-0.00843554007698969
11,"seaice_edge",-0.00843554007698969
1,"seaice_edge",-0.00843554007698969
10,"seaice_edge",-0.00843554007698969
7,"seaice_edge",-0.00843554007698969
2,"seaice_edge",-0.00843554007698969
6,"seaice_edge",-0.00843554007698969
9,"seaice_edge",-0.00843554007698969
4,"seaice_shoreline",-0.00809728067206772
8,"seaice_shoreline",-0.00809728067206772
3,"seaice_shoreline",-0.00809728067206772
5,"seaice_shoreline",-0.00809728067206772
11,"seaice_shoreline",-0.00809728067206772
1,"seaice_shoreline",-0.00809728067206772
10,"seaice_shoreline",-0.00809728067206772
7,"seaice_shoreline",-0.00809728067206772
2,"seaice_shoreline",-0.00809728067206772
6,"seaice_shoreline",-0.00809728067206772
9,"seaice_shoreline",-0.00809728067206772
