"rgn_id","sciname","popn_trend"
4,"Alopias vulpinus","Decreasing"
8,"Alopias vulpinus","Decreasing"
3,"Alopias vulpinus","Decreasing"
5,"Alopias vulpinus","Decreasing"
11,"Alopias vulpinus","Decreasing"
1,"Alopias vulpinus","Decreasing"
10,"Alopias vulpinus","Decreasing"
7,"Alopias vulpinus","Decreasing"
2,"Alopias vulpinus","Decreasing"
6,"Alopias vulpinus","Decreasing"
9,"Alopias vulpinus","Decreasing"
4,"Balaena mysticetus","Increasing"
8,"Balaena mysticetus","Increasing"
3,"Balaena mysticetus","Increasing"
5,"Balaena mysticetus","Increasing"
11,"Balaena mysticetus","Increasing"
1,"Balaena mysticetus","Increasing"
10,"Balaena mysticetus","Increasing"
7,"Balaena mysticetus","Increasing"
2,"Balaena mysticetus","Increasing"
6,"Balaena mysticetus","Increasing"
9,"Balaena mysticetus","Increasing"
4,"Balaenoptera acutorostrata","Stable"
8,"Balaenoptera acutorostrata","Stable"
3,"Balaenoptera acutorostrata","Stable"
5,"Balaenoptera acutorostrata","Stable"
11,"Balaenoptera acutorostrata","Stable"
1,"Balaenoptera acutorostrata","Stable"
10,"Balaenoptera acutorostrata","Stable"
7,"Balaenoptera acutorostrata","Stable"
2,"Balaenoptera acutorostrata","Stable"
6,"Balaenoptera acutorostrata","Stable"
9,"Balaenoptera acutorostrata","Stable"
4,"Balaenoptera borealis","Unknown"
8,"Balaenoptera borealis","Unknown"
3,"Balaenoptera borealis","Unknown"
5,"Balaenoptera borealis","Unknown"
11,"Balaenoptera borealis","Unknown"
1,"Balaenoptera borealis","Unknown"
10,"Balaenoptera borealis","Unknown"
7,"Balaenoptera borealis","Unknown"
2,"Balaenoptera borealis","Unknown"
6,"Balaenoptera borealis","Unknown"
9,"Balaenoptera borealis","Unknown"
4,"Balaenoptera musculus","Increasing"
8,"Balaenoptera musculus","Increasing"
3,"Balaenoptera musculus","Increasing"
5,"Balaenoptera musculus","Increasing"
11,"Balaenoptera musculus","Increasing"
1,"Balaenoptera musculus","Increasing"
10,"Balaenoptera musculus","Increasing"
7,"Balaenoptera musculus","Increasing"
2,"Balaenoptera musculus","Increasing"
6,"Balaenoptera musculus","Increasing"
9,"Balaenoptera musculus","Increasing"
4,"Balaenoptera physalus","Unknown"
8,"Balaenoptera physalus","Unknown"
3,"Balaenoptera physalus","Unknown"
5,"Balaenoptera physalus","Unknown"
11,"Balaenoptera physalus","Unknown"
1,"Balaenoptera physalus","Unknown"
10,"Balaenoptera physalus","Unknown"
7,"Balaenoptera physalus","Unknown"
2,"Balaenoptera physalus","Unknown"
6,"Balaenoptera physalus","Unknown"
9,"Balaenoptera physalus","Unknown"
4,"Cetorhinus maximus","Decreasing"
8,"Cetorhinus maximus","Decreasing"
3,"Cetorhinus maximus","Decreasing"
5,"Cetorhinus maximus","Decreasing"
11,"Cetorhinus maximus","Decreasing"
1,"Cetorhinus maximus","Decreasing"
10,"Cetorhinus maximus","Decreasing"
7,"Cetorhinus maximus","Decreasing"
2,"Cetorhinus maximus","Decreasing"
6,"Cetorhinus maximus","Decreasing"
9,"Cetorhinus maximus","Decreasing"
4,"Eschrichtius robustus","Stable"
8,"Eschrichtius robustus","Stable"
3,"Eschrichtius robustus","Stable"
5,"Eschrichtius robustus","Stable"
11,"Eschrichtius robustus","Stable"
1,"Eschrichtius robustus","Stable"
10,"Eschrichtius robustus","Stable"
7,"Eschrichtius robustus","Stable"
2,"Eschrichtius robustus","Stable"
6,"Eschrichtius robustus","Stable"
9,"Eschrichtius robustus","Stable"
4,"Eubalaena glacialis","Unknown"
8,"Eubalaena glacialis","Unknown"
3,"Eubalaena glacialis","Unknown"
5,"Eubalaena glacialis","Unknown"
11,"Eubalaena glacialis","Unknown"
1,"Eubalaena glacialis","Unknown"
10,"Eubalaena glacialis","Unknown"
7,"Eubalaena glacialis","Unknown"
2,"Eubalaena glacialis","Unknown"
6,"Eubalaena glacialis","Unknown"
9,"Eubalaena glacialis","Unknown"
4,"Isurus oxyrinchus","Decreasing"
8,"Isurus oxyrinchus","Decreasing"
3,"Isurus oxyrinchus","Decreasing"
5,"Isurus oxyrinchus","Decreasing"
11,"Isurus oxyrinchus","Decreasing"
1,"Isurus oxyrinchus","Decreasing"
10,"Isurus oxyrinchus","Decreasing"
7,"Isurus oxyrinchus","Decreasing"
2,"Isurus oxyrinchus","Decreasing"
6,"Isurus oxyrinchus","Decreasing"
9,"Isurus oxyrinchus","Decreasing"
4,"Lamna nasus","Decreasing"
8,"Lamna nasus","Decreasing"
3,"Lamna nasus","Decreasing"
5,"Lamna nasus","Decreasing"
11,"Lamna nasus","Decreasing"
1,"Lamna nasus","Decreasing"
10,"Lamna nasus","Decreasing"
7,"Lamna nasus","Decreasing"
2,"Lamna nasus","Decreasing"
6,"Lamna nasus","Decreasing"
9,"Lamna nasus","Decreasing"
4,"Megaptera novaeangliae","Increasing"
8,"Megaptera novaeangliae","Increasing"
3,"Megaptera novaeangliae","Increasing"
5,"Megaptera novaeangliae","Increasing"
11,"Megaptera novaeangliae","Increasing"
1,"Megaptera novaeangliae","Increasing"
10,"Megaptera novaeangliae","Increasing"
7,"Megaptera novaeangliae","Increasing"
2,"Megaptera novaeangliae","Increasing"
6,"Megaptera novaeangliae","Increasing"
9,"Megaptera novaeangliae","Increasing"
4,"Prionace glauca","Unknown"
8,"Prionace glauca","Unknown"
3,"Prionace glauca","Unknown"
5,"Prionace glauca","Unknown"
11,"Prionace glauca","Unknown"
1,"Prionace glauca","Unknown"
10,"Prionace glauca","Unknown"
7,"Prionace glauca","Unknown"
2,"Prionace glauca","Unknown"
6,"Prionace glauca","Unknown"
9,"Prionace glauca","Unknown"
4,"Ursus maritimus","Decreasing"
8,"Ursus maritimus","Decreasing"
3,"Ursus maritimus","Decreasing"
5,"Ursus maritimus","Decreasing"
11,"Ursus maritimus","Decreasing"
1,"Ursus maritimus","Decreasing"
10,"Ursus maritimus","Decreasing"
7,"Ursus maritimus","Decreasing"
2,"Ursus maritimus","Decreasing"
6,"Ursus maritimus","Decreasing"
9,"Ursus maritimus","Decreasing"
