"rgn_id","year","usd"
1,1998,88119829216.1513
2,1998,14857502915.6243
3,1998,43531611497.7707
4,1998,306829137344.582
5,1998,39528126265.4198
6,1998,119879127597.463
7,1998,449967434.663109
8,1998,65338891.659604
9,1998,2313314.09199272
10,1998,3341683175.77702
11,1998,161362346.796504
1,2001,102215492905.147
2,2001,17234111747.2552
3,2001,50494935881.9733
4,2001,355909581195.479
5,2001,45851052433.681
6,2001,139055014352.749
7,2001,521944306.230273
8,2001,75790512.4904429
9,2001,2683352.22912709
10,2001,3876219416.0299
11,2001,187173896.736432
1,2002,104964103033.559
2,2002,17697543001.7193
3,2002,51852762256.9584
4,2002,365480113527.409
5,2002,47084003168.7964
6,2002,142794252016.174
7,2002,535979570.022455
8,2002,77828545.7117091
9,2002,2755508.50314634
10,2002,3980452303.2766
11,2002,192207067.870494
1,2003,123710744241.538
2,2003,20858333017.8064
3,2003,61113691484.9541
4,2003,430755044279.298
5,2003,55493229642.7135
6,2003,168297376720.18
7,2003,631705788.830854
8,2003,91728762.8338402
9,2003,3247643.69757089
10,2003,4691363071.99096
11,2003,226535346.156775
1,2004,141763303528.121
2,2004,23902096885.9475
3,2004,70031740968.1906
4,2004,493613214137.721
5,2004,63591110099.8311
6,2004,192856265195.423
7,2004,723887808.060169
8,2004,105114333.662754
9,2004,3721557.91376562
10,2004,5375952842.35598
11,2004,259592642.772961
1,2005,161984833100.566
2,2005,27311561444.0781
3,2005,80021272008.6913
4,2005,564023637418.071
5,2005,72661930837.1123
6,2005,220365843293.729
7,2005,827145268.584271
8,2005,120108147.673498
9,2005,4252411.74924957
10,2005,6142794378.04444
11,2005,296621691.70156
1,2006,182680132877.077
2,2006,30800906345.2694
3,2006,90244847765.8701
4,2006,636083706462.672
5,2006,81945271827.9355
6,2006,248519943280.584
7,2006,932821948.088251
8,2006,135453251.743589
9,2006,4795702.95892252
10,2006,6927602243.60658
11,2006,334518294.195007
1,2007,203462585797.279
2,2007,34304945760.715
3,2007,100511477587.335
4,2007,708447238690.686
5,2007,91267707316.5453
6,2007,276792607306.044
7,2007,1038943658.82797
8,2007,150862977.929543
9,2007,5341282.10534314
10,2007,7715715133.66298
11,2007,372574488.870167
1,2008,214693911412.961
2,2008,36198610950.1016
3,2008,106059805445.615
4,2008,747554190900.531
5,2008,96305770383.7777
6,2008,292071818904.019
7,2008,1096294323.48664
8,2008,159190755.844281
9,2008,5636125.88851463
10,2008,8141629847.58663
11,2008,393140950.188841
1,2009,191105413013.914
2,2009,32221456354.4048
3,2009,94406975914.9956
4,2009,665420139127.913
5,2009,85724620245.1177
6,2009,259981781570.02
7,2009,975844066.074786
8,2009,141700409.403328
9,2009,5016882.68025088
10,2009,7247106004.96108
11,2009,349946410.515605
1,2010,225318022502.925
2,2010,37989896327.0612
3,2010,111308166462.555
4,2010,784546850439.065
5,2010,101071453753.316
6,2010,306524969577.284
7,2010,1150544360.68316
8,2010,167068297.705875
9,2010,5915029.128772
10,2010,8544517751.50931
11,2010,412595498.766077
1,2011,248036418205.121
2,2011,41820346673.8919
3,2011,122531161154.643
4,2011,863651245183.85
5,2011,111262299807.515
6,2011,337431310197.994
7,2011,1266551601.33161
8,2011,183913482.367147
9,2011,6511430.47671881
10,2011,9406045529.92171
11,2011,454196732.887466
